record_id,surface_raw,category,analysis,source_id,source_location,dialect_scope,status,note
GP-POS-C14-02,íqueme,POSSESSION_DEPENDENT_PRONOUN,3SG_ANIMAL,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 14,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-C14-03,íqueni,POSSESSION_DEPENDENT_PRONOUN,3SG_THING,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 14,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-C14-04,íquedu,POSSESSION_DEPENDENT_PRONOUN,1PL_EXCLUSIVE,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 14,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-C14-05,íquenu,POSSESSION_DEPENDENT_PRONOUN,1PL_INCLUSIVE,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 14,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-C14-06,íquetu,POSSESSION_DEPENDENT_PRONOUN,2PL,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 14,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-C14-07,íquecabe,POSSESSION_DEPENDENT_PRONOUN,3PL_PERSON,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 14,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-C14-08,íquecame,POSSESSION_DEPENDENT_PRONOUN,3PL_ANIMAL,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 14,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-C14-09,íquecani,POSSESSION_DEPENDENT_PRONOUN,3PL_THING,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 14,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C15-01,rizóu',PERSON_2SG,2SG_U,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C15-02,rizálu',PERSON_2SG,2SG_LU,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C15-03,lou',PERSON_2SG,2SG_U,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C15-04,lalu',PERSON_2SG,2SG_LU,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C15-05,ruyoou',PERSON_2SG,2SG_U,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C15-06,ruyaalu',PERSON_2SG,2SG_LU,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C15-07,napu',PERSON_2SG,2SG_U,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C15-08,nápalu',PERSON_2SG,2SG_LU,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C15-09,nadxi'ñu',PERSON_2SG,2SG_U,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C15-10,nadxi'ñalu',PERSON_2SG,2SG_LU,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C15-11,rie'nu',PERSON_2SG,2SG_U,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C15-12,riénelu',PERSON_2SG,2SG_LU,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C15-13,i'cu',PERSON_2SG,2SG_U,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C15-14,iquelu',PERSON_2SG,2SG_LU,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C15-15,la'du',PERSON_2SG,2SG_U,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C15-16,ládilu',PERSON_2SG,2SG_LU,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadro 15,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C16C17-01,rizaya',PERSON_1SG,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadros 16–17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C16C17-02,xpiga'ya',PERSON_1SG,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadros 16–17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C16C17-03,ruaa',PERSON_1SG,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadros 16–17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C16C17-04,riguié',PERSON_1SG,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadros 16–17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C16C17-05,cuee',PERSON_1SG,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadros 16–17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C16C17-06,riree',PERSON_1SG,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadros 16–17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C16C17-07,xpie',PERSON_1SG,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadros 16–17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C16C17-08,ribiee',PERSON_1SG,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadros 16–17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C16C17-09,nadxiee',PERSON_1SG,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadros 16–17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C16C17-10,raua',PERSON_1SG,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadros 16–17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C16C17-11,biruaa',PERSON_1SG,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadros 16–17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C16C17-12,lua',PERSON_1SG,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadros 16–17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C16C17-13,biuaa',PERSON_1SG,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadros 16–17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C16C17-14,napa',PERSON_1SG,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadros 16–17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C16C17-15,stiidxa',PERSON_1SG,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadros 16–17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C16C17-16,riene',PERSON_1SG,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadros 16–17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C16C17-17,xqueere',PERSON_1SG,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadros 16–17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C16C17-18,xpihue',PERSON_1SG,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadros 16–17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C16C17-19,staane',PERSON_1SG,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadros 16–17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C16C17-20,xpegua',PERSON_1SG,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadros 16–17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-C16C17-21,xpicua',PERSON_1SG,1SG,BIB004_GRAMATICA_POPULAR,§5.1.2 Cuadros 16–17,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-EX-01,Cayuundabe,PERSON_EXAMPLE,3SG_PERSON,BIB004_GRAMATICA_POPULAR,§5.1.2 examples 22–23,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-EX-02,Bixídxibe,PERSON_EXAMPLE,3SG_PERSON,BIB004_GRAMATICA_POPULAR,§5.1.2 examples 22–23,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-EX-03,Bixidxi huiinibe,PERSON_EXAMPLE,3SG_PERSON_ON_MODIFIER,BIB004_GRAMATICA_POPULAR,§5.1.2 examples 22–23,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-EX-04,Gunaaze dxiichibe ni,PERSON_EXAMPLE,3SG_PERSON_ON_MODIFIER,BIB004_GRAMATICA_POPULAR,§5.1.2 examples 22–23,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-EX-05,laabe,PERSON_EXAMPLE,3SG_PERSON,BIB004_GRAMATICA_POPULAR,§5.1.2 examples 22–23,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-PERS-EX-06,Rócabe gueta,PERSON_EXAMPLE,3PL_PERSON,BIB004_GRAMATICA_POPULAR,§5.1.2 examples 22–23,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-01,xhamígube,POSSESSION,POS_PREFIX_3P,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-02,xhamigu Ana,POSSESSION,POS_PREFIX_NP,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-03,xhamiga gunaa ca,POSSESSION,POS_PREFIX_NP,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-04,xtanguyube,POSSESSION,POS_PREFIX_3P,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-05,xtanguyú Ana,POSSESSION,POS_PREFIX_NP,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-06,xpérebe,POSSESSION,POS_B_TO_P,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-07,xtoobe,POSSESSION,POS_D_TO_T,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-08,xquétabe,POSSESSION,POS_G_TO_QU,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-09,xhinbe,POSSESSION,POS_CH_TO_XH,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-10,xhiiñabe,POSSESSION,POS_DX_TO_XH,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-11,sídibe,POSSESSION,POS_Z_TO_S,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-12,saabe,POSSESSION,POS_S_FUSION,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-13,xtiibe,POSSESSION,POS_R_TO_XT,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-14,xtaanibe,POSSESSION,POS_BI_LOSS,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-15,suudibe,POSSESSION,POS_BI_LOSS,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-16,ñeebe,POSSESSION,ALWAYS_POSSESSED,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-17,bixhozebe,POSSESSION,ALWAYS_POSSESSED,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-18,lidxi Juana,POSSESSION,ALWAYS_POSSESSED_NP,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-19,xpixuaanabe,POSSESSION,LEXICAL_X,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-20,xheela',POSSESSION,LEXICAL_X,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-21,xpí'cube,POSSESSION,POS_DEPENDENT_3P,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-22,xpi'cuhuiinibe,POSSESSION,POS_DEPENDENT_3P,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-23,bixhózelu',POSSESSION,POS_DEPENDENT_2SG,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-24,tou' xtibe,POSSESSION,XTI_DEPENDENT,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-25,tou' xti' Ana,POSSESSION,XTI_NP,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-26,bi'cu' xti' bixhoze',POSSESSION,XTI_CHAIN,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-27,bere xti' jñaa Ana,POSSESSION,XTI_COMPLEX_NP,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-28,xtinne',POSSESSION,XTI_1SG,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-29,xtilu',POSSESSION,XTI_2SG,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-30,xtiu',POSSESSION,XTI_2SG,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-31,xtibe,POSSESSION,XTI_3SG_PERSON,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-32,xtime,POSSESSION,XTI_3SG_ANIMAL,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-33,xtini,POSSESSION,XTI_3SG_THING,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-34,xtidu,POSSESSION,XTI_1PL_EXCL,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-35,xtinu,POSSESSION,XTI_1PL_INCL,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-36,xtitu,POSSESSION,XTI_2PL,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-37,xtícabe,POSSESSION,XTI_3PL_PERSON,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-38,xtícame,POSSESSION,XTI_3PL_ANIMAL,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
GP-POS-EX-39,xtícani,POSSESSION,XTI_3PL_THING,BIB004_GRAMATICA_POPULAR,§4.2–4.2.3; §5.1.2,JUCHITAN_HISTORICAL_SOURCE,DOCUMENTED_EXACT,
