ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Attribution,PID,Sense_IDs,alt_translation1
7952,jzd,Amèlia nè naa riuunudu Chíca.,,,Amelia and I got closer to Chica.,,,,,wJH8QP,2544,Amelia y yo nos acercamos a Chica.
8861,jzd,Ana riza galahui'.,,,Ana walks around the center (of town).,,,,,I9hyYX,2793,Ana pasea en el centro.
11975,jzd,"A: Ñúuyu'sióu' pà bia' sica rù gunaahuiini' rudxaaga' Pèdru
B: Má na.",,,"A: If you saw how pretty Pedro's girlfriend is..  
B: No way..!",,,,,+qVBnU,5895,"A: Si vieras qué guapa es la noviecita de Pedro.
B: ¡A poco!"
14887,jzd,Arádu ziuula'.,,,Long plow.,,,,,y2WPih,8579,Arado largo.
2059,jzd,Àrno cabaná' jñaa.,,,Arno is missing (yearning for) his mother.,,,,,ghrN2M,687,Arno está extrañando (añorando) a su madre.
14762,jzd,Asièntu yaabi'.,,,Worn out chair.,,,,,ttYkQ/,8432,Silla gastada.
8944,jzd,Atàque laabe.,,,S/he gets (epileptic) attacks.,,,,,peF/AX,2909,Le dan ataques (de epilepsia).
8895,jzd,Àûːːːːːː ridxaga xhcá'nda' Fán òra má dá' bacaanda' lu.,,,Àûːːːːːː goes Juan when he yawns.,,,,,dujE6I,2828,Àûːːːːːː hace Juan al bostezar.
8746,jzd,Au' ruuna' gueù' huaxhinni.,,,Au'cries the coyote cries.,,,,,4gYRIr,2756,Au' llora el coyote de noche.
8946,jzd,Ayùbu ni randà buéy.,,,"The yoke, that which is hung on the bull.",,,,RLC,NQ7wiP,2912,"El yugo, lo que se cuelga de los bueyes."
14888,jzd,Ayúbu ziuula'.,,,A long yoke.,,,,,RPVz1e,8579,Yugo largo.
11964,jzd,Bàca ribidxiaa mã̰́̀ːː.,,,The cow moos mã̰́̀ːː.,,,,,rp1iVQ,5887,La vaca grita mã̰́̀ːː.
9000,jzd,Badià' xtì'be.,,,Her/his basin.,,,,,cG7Ybo,2975,Su batea.
9026,jzd,Ba'du' canabe dxí'ba' dìbe.,,,That boy is very rude.,,,,,W0vJ5U,3015,Ese niño es muy grosero.
12191,jzd,Ba'du'cà ngà naadxi' xhtìbe.,,,This boy is the apple of her eye.,,,,,h3kxSg,6162,Ese niño es su adoración.
8585,jzd,Ba'du'dí' quí nixúbinà'dí' Fán laabe.,,,Juan didn't cuddle that boy.,,,,JLC,To6pHH,2701,A este niño no lo acarició Juan.
9105,jzd,Ba'du' huiini' gulè ndaani' bèlu nè xtale suèrrte.,,,He was born with a veil and brings good luck.,,,,,LW9C4x,3103,Nació con velo y trae suerte.
1146,jzd,Ba'du'nguiiu'cà ngà racabia' Fàna.,,,That young man is Jane's boyfriend.,,,,,oN8eYB,471,Ese muchacho es el novio de Juana.
424,jzd,Ba'du' rèchu.,,,Restless child.,,,,,ufqFX4,280 ; 7440,Niño inquieto.
13569,jzd,Ba'du' reèlà'.,,,Malnourished child.,,,,,N5x2sm,7365,Niño desnutrido.
396,jzd,Ba'du' ridxí'.,,,Child that cries a lot.,,,,,zwcLBM,264,Niño llorón.
9032,jzd,Ba'du'rí'ni' xtíu'.,,,Your newborn child.,,,,RLC,lfonfB,3028,Tu hijo recien nacido.
8718,jzd,Ba'du' riziñe.,,,Crybaby.,,,,,B+jXu/,2737,Chillón. (lit. niño que llora)
13765,jzd,Ba'du' ruaaxhià.,,,Child who laughs a lot.,,,,,zDcIBH,7512,Niño que se ríe mucho.
9641,jzd,Ba'du' sicarú nga xha'ca' Lína.,,,Lina's boyfriend is a lovely young man.,,,,,Dc9dNr,3794,El novio de Lina es un muchacho hermoso.
9022,jzd,Ba'du' xa'na' rígui'.,,,The (often) defecating child.,,,,,Tz4qP0,3010,Niño cagón.
9021,jzd,Ba'du' xii rí guudxi'.,,,The snotty child.,,,,,VrlNBv,3010,El niño mocoso.
15271,jzd,Ba'du' zíñe.,,,Annoying child.,,,,,55iaLJ,8855,El niño que molesta.
9052,jzd,bamˤ guxidxi ti balàsu ralidxi Fán.,,,"""bamˤ"" rang a gunshot in Juan's house.",,,,,BoGRiv,3049,bamˤ sonó un balazo en casa de Juan.
6030,jzd,Bandaà rusiaabi' yaga.,,,The termite leaves the stick hollow.,,,,,sF0/TL,1831,El comején deja hueco el palo.
9579,jzd,Banda bia' napà doocà.,,,How many spans long is the twine?,,,,,Mt+5mC,3750,¿Cuántas cuartas mide ese mecate?
9058,jzd,Bandà binnì.,,,How many people?,,,,RGL,GKqWDZ,3052,¿Cuántas personas?
535,jzd,Bandaga yú'la'.,,,Long leaf (like that of a banana tree).,,,,,P/nd/q,346,Hoja larga (como de plátano).
9056,jzd,Bandà iza napàlu'.,,,How old are you?,,,,EJG,U3RYhn,3052,¿Cuántos años tienes?
11028,jzd,Bandà xhiza.,,,How many years?,,,,,cjWm34,5197,¿Cuántos años?
9055,jzd,Bandà xhizalu'.,,,How old are you?,,,,ND;RLC;VC,Ej9Y4T,3052,¿Cuántos años tienes?
9057,jzd,Bandà xì beeyù' nuùnu yanna dxi.,,,What day of the month is today?,,,,EJG;JLC,i+uWN7,3052,¿A cuántos del mes estamos hoy?
8986,jzd,Bàra rigubia'.,,,She measures by the arm length.,,,,,gSt2t3,2954,Mide por vara.
9067,jzd,Barràcu biree.,,,He turned out to be a womanizer.,,,,,cF3h3N,3062,Salió mujeriego.
9068,jzd,Barràcu gàyu ndì' dxé.,,,He is a womanizer.,,,,,KcV/so,3062,Este es un mujeriego.
9069,jzd,Barràcu rindeebe bixhozebe.,,,The boy looks like his father.,,,,,BypydU,3062,El niño se parece a su papá.
8996,jzd,Bàscula de gàndxù para cú bia' lu.,,,Scale made out of a machete for weighing.,,,,,R+w7SP,2969,Báscula de machete para pesar.
8998,jzd,Bàsu huiini'.,,,Small drinking glass; Wine glass.,,,,,sH11GK,2971,Vaso chiquito; Copa.
9013,jzd,Bataànà' bi'cu'.,,,Dog tick.,,,,,MZo3wg,3001,Garrapata de perro.
9083,jzd,Batanà'be.,,,The palm of the hand.,,,,,fLI7w8,3072,La palma de la mano.
13633,jzd,Bata ròncha naca.,,,A big wheal appeared.,,,,,Dtt0tq,7404,Se hizo una roncha grande.
9097,jzd,Bebetica nisadí'.,,,The water is very clear.,,,,,mnioEy,3087,Está muy clara el agua.
9100,jzd,Bèˤ' canayuuna' xhtendxú Fán ti cananiti.,,,Bèˤ' cried Juan's sheep because he was lost.,,,,,ABL/oL,3100,Bèˤ' anda llorando el borrego de Juan por andar perdido.
9865,jzd,Bedà daàbì' guiìchì' ñee Fán.,,,A thorn is stuck in Juan's foot.,,,,,mNx7rJ,4095,Vino a enterrarse una espina en el pie de Juan.
2958,jzd,Bedandà.,,,S/he arrived here.,,,,,k/B9Ze,889,Llegó acá.
2137,jzd,"Bedandàbe racà, bíguétá' neza cà zeèdà'.",,,"He came, and returned on the same path that he came on.",,,,,JhTDqF,705,"Vino, y regresó por el mismo camino (en) que vino."
13415,jzd,Bedandà xqui'chi'be de Puerto México.,,,His letter from Puerto México (Coatzacoalcos) arrived.,,,,,xU5kMW,7204,Llegó su carta de Puerto México (Coatzacoalcos).
9938,jzd,Beedà' Fán de xquí'.,,,Juan arrived last.,,,,,lCHwu2,4143,Llegó Juan al último.
14260,jzd,Beedà'ndà tuùxà' de Mèxicu neegue'.,,,Important people from Mexico City arrived yesterday.,,,,,Fg8b7I,7978,Ayer llegó gente importante de la Ciudad de México.
9906,jzd,Beedà'ndà xqui'chi'be de Puèrtu Mèjicu.,,,His letter arrived from Coatzacoalcos (lit. Port Mexico).,,,,,4kOymN,4126,Llegó su carta de Coatzacoalcos (lit. Puerto México).
14976,jzd,Beedà'nèbe guchachí'què.,,,He brought this iguana.,,,,,yZJK5i,8632,Trajo esta iguana.
2966,jzd,Beedà'nèbe xá guchachi'què.,,,S/he brought that iguana.,,,,,KV2x4D,890,Trajo aquella iguana.
14975,jzd,Beedà'nèbe xá guchachí'què.,,,He brought that iguana.,,,,,FGfpFG,8632,Trajo aquella iguana.
2963,jzd,Beedà'nè Mariá gueta.,,,María brought tortillas.,,,,RLC,grc/6I,890,María trajo tortilla.
2941,jzd,Beedà'sìlu Fán Pèdru.,,,Juan remembered Pedro.,,,,,3TPray,883,Se acordó Juan de Pedro.
2943,jzd,Beedà'sìlu laabeni.,,,He remembered that.,,,,,BeEUpC,883,Se acordó el de eso.
9549,jzd,Beedà' ti burì'.,,,Someone came.,,,,,TFU8Px,3725,Vino un fulano.
9553,jzd,"Beedà' ti burì', canayubì lii.",,,"Some dude came, he was looking for you.",,,,,y8rQu6,3725,"Vino un fulano, te andaba buscando."
2973,jzd,Beedà'tìdxì Fán Pèdru.,,,Juan came to tell Pedro (something).,,,,,cgMYkq,892,Juan le vino a decir a Pedro.
2975,jzd,Beedà'tìdxì Fán Pèdru.,,,Juan came to say (something) to Pedro.,,,,JLC;RGL,65M/6/,892,Juan le vino a decir a Pedro.
608,jzd,Beedà' xá nguiiuquè.,,,That man came.,,,,,RJ1ZEZ,376 ; 8632,Vino aquel hombre.
2984,jzd,"Beedà' xoo Fán, quí niní' nè naa.",,,"He came back in a hurry, he didn't talk to me.",,,,RLC,OUe3/G,898,"Regreso con prisa, ni habló conmigo."
2976,jzd,Beedà' xpiaani' Ròsa.,,,Rosa regained consciousness.,,,,,XZ2xSc,893,Le regresó el conocimiento a Rosa.
13017,jzd,Beedà' yubìca'be lii de numbà'.,,,They came looking for you a while ago.,,,,RGL;RLC,de6APa,6838,Te vinieron a buscar desde hace rato.
9139,jzd,Beelà'bihui ni bidxú'ni' bidxi.,,,Sow's meat that is cooked until it thickens.,,,,,Gp+VF3,3150,Carne de cerda que se cuece hasta espesar.
9140,jzd,Beelà'bihui ni bidxú'ni' bidxi.,,,Pork that is cooked until it thickens.,,,,,xi7n7x,3151,Carne de cerdo que se cuece hasta espesar.
14898,jzd,Beelà'cà nabé napà za.,,,This meat has a lot of fat.,,,,,FoVqzE,8586,Esa carne tiene mucha grasa.
9125,jzd,Beelà' chuga.,,,Tough meat.,,,,,G5+HCQ,3132,Carne dura.
10716,jzd,Beelà'dí' qué gapàdí'ni guibi.,,,This meat had no skin.,,,,,o2Mh+1,4871,Esta carne no tiene pellejo.
9130,jzd,Beelà la'du'.,,,Your muscles.,,,,,oIdtKP,3139,Tus músculos.
11636,jzd,Beelala'sa'.,,,Fibrous meat.,,,,,2RGxTY,5675,Carne fibrosa.
10717,jzd,Beelà' ni napà guibi.,,,Meat that has gristle.,,,,,g+O63x,4871,Carne que tiene nervios.
8565,jzd,Beenda' rixubi ndaani'.,,,The snake drags itself on its belly.,,,,,M0Mq9E,2696,La víbora se arrastra con la panza.
6844,jzd,"Béete ruxooñe', ngà runi quí nináaze' dxù' laa.",,,"Béete fled, that's why the soldiers didn't apprehend him.",,,,,U9tngF,2198,"Béete huyó, por eso no lo aprehendieron los soldados."
9166,jzd,"Beeù', beeù' santaròsa, paraa zè' ná liá Ròsa, zí caabe ti ndaà gui, xhì gùnibe gui, cháande xubá', xhì gùnibe xubá', gó bere, xhì gùni bere, cuaquí' dxita, xhì gùnibe dxita, gùnibeni guenda re, xhì gùni guenda re, guènè táta pàdre, xhì gùni táta pàdre, gùnibe ti mixá' huiini', ti mixá' ró', tílín tílín, biga raagu' niidxi', tálán tálán biga raagu' roondè'.",,,"Moon, moon of Saint Rosa. Where did she go, our lady Rosa? She went to get a piece of the fire. What will she do with the fire? Cook the corn. What will she do with the corn? It will be eaten by the chicken. What will the chicken do? It will lay an egg. What will she do with the egg? She will make a breakfast. What will she do with the breakfast? It will be eaten by the pastor. What will the pastor do? He will give a small mass, a big mass, tilín, tilín, coyol (Acrocomia aculeata) of milk, talán talán, delicious coyol (Acrocomia aculeata).",,,,,PJxC+r,3185 ; 3186,"Luna, luna de Santa Rosa, ¿a dónde se fue la señora Rosa?, se fue por un pedazo de fuego, ¿qué va a hacer con el fuego?, cocer el maíz, ¿qué va a hacer con el maíz?, lo va a comer el pollo, ¿qué va a hacer el pollo?, va a poner huevo, ¿qué va a hacer con el huevo?, va a hacer un desayuno, ¿qué va hacer con el desayuno?, lo desayunará el padre (sacerdote), ¿qué va a hacer el padre?, hará una misa pequeña, una misa grande, tilín, tilín, coyol de leche, talán talán, coyol de baba (grande, qué huele rico)."
9162,jzd,Beeù'dí' riaba nisaguie.,,,It rains a lot during this month.,,,,,/5QdjO,3177,En este mes llueve mucho.
2584,jzd,Beeù'dí' ridopà xandié.,,,The watermelon harvest is this month.,,,,,R8lRoH,807,Este mes se recoje la sandía.
6232,jzd,Beeù (g)usíguie.,,,Rainy month (i.e. season).,,,,,oqaI9Y,1952,Mes de lluvia.
9159,jzd,Beeù' rizila'dxi' cà ni rusiidi'.,,,My school breaks.,,,,EJG;JLC;ND;RGL;RLC,6BdXJw,3177,Mes de vacaciones de la escuela.
9096,jzd,Be gui'chi'.,,,Paper white.,,,,,BYw6lI,3086,Blancura de papel.
9095,jzd,Begui'chi' laani'.,,,S/he is fair skinned.,,,,,Y6kIuR,3086,Es güero/a (el niño/la niña).
344,jzd,Begù nuì.,,,Lice comb.,,,,,HGBc/g,238 ; 6231,Peine para sacar piojos.
13540,jzd,Begù raaya'.,,,Comb with with open teeth.,,,,,WyFlb4,7340,Peine largo con más espacio.
194,jzd,Belachonga.,,,Tough meat.,,,,,8MvSeV,172,Carne dura.
9169,jzd,Beladòra ró'.,,,Large candle; Large ceremony.,,,,,3iecIW,3193,Veladora grande.
9129,jzd,Belàladilu'.,,,Your muscle.,,,,,9Sv9lt,3139,Tu músculo.
9178,jzd,"Bele, bele gudi'di'be ra rì'.",,,"It passed by quickly, like fire (possibly in reference to a shooting star).",,,,EJG;JLC;ND;RLC,7n1NGi,3200,"Pasó por aquí rápido, como el fuego
(posiblemente en referencia a una estrella fugaz)."
9174,jzd,Belegui ni jmá ruzaani'.,,,The brightest star.,,,,,2+qM8Y,3196,Estrella que más brilla.
9175,jzd,Bele gui ró'.,,,The largest star.,,,,,wy+wmE,3196,La estrella más grande.
9172,jzd,Bele huiini'.,,,Small flame (from a lighter or a match).,,,,,VCb9Sq,3194,Flama pequeña (de encendedor o cerillo).
2990,jzd,Bèlma rigaa nisa ca' yaga huiini' xhtì' irà' siado'.,,,Velma waters the plants every morning.,,,,,ds35th,900,Velma echa agua a las plantas todas las mañanas.
9196,jzd,Bendá'.,,,My sister (said by a woman).,,,,,ozrvPk,3221,Mi hermana (dicho por mujer).
9179,jzd,Benda bidxi.,,,Dried fish (as food).,,,,,C+8wCu,3202,Pescado seco (para comer).
140,jzd,Benda biìrù'.,,,Little fish.,,,,,OUCGjx,149 ; 3291,Pescadito.
9183,jzd,Bendabuaa ngòla.,,,Giant shrimp.,,,,,hbW2zT,3205,Camarón gigante.
9184,jzd,Bendabuaa pùlpa.,,,Cocktail shrimp.,,,,,2w/Nsm,3205,Camaroncito para coctél.
9182,jzd,Bendabuaaró'.,,,Giant shrimp.,,,,,fyeMHU,3205,Camarón gigante.
9181,jzd,Benda buaa yaa.,,,Raw shrimp.,,,,EJG;JLC;ND;RGL,V+pWIO,3205,Camarón crudo.
9192,jzd,Bendadí' gu'gui'me xáñee suquiì.,,,This fish was cooked in the oven.,,,,,WBp3RY,3212,Este pescado se coció en el horno.
9202,jzd,Bendá' huaniisì'.,,,My older sister (as said by a woman).,,,,,FVgHDH,3224,Mi hermana mayor (dicho por una mujer).
9198,jzd,Bendá' huiiné'.,,,My younger sister (said by a woman).,,,,,xZ8ojP,3221,Mi hermana chiquita (dicho por mujer).
9203,jzd,Bendá' huiiné'.,,,My younger sister (said by a woman).,,,,,HQD8V7,3225,Mi hermana menor (dicho por mujer).
9204,jzd,Bendà huiini'lu'.,,,Your younger sister (said of a woman).,,,,,WeCURo,3225,Tu hermana menor (dicho de una mujer).
9197,jzd,Bendá'lu'.,,,Your sister (the addressee is a woman).,,,,,D9vQ7S,3221,Tu hermana (la interlocutora es mujer).
9199,jzd,Bendá' lu gòla.,,,My older sister (said by a woman).,,,,,0mZhhc,3222,Mi hermana mayor (dicho por mujer).
9200,jzd,Bendá' nahuiini'.,,,My younger sister (said by a woman).,,,,RLC,4UgA2K,3223,Mi hermana menor (dicho por mujer).
9180,jzd,Benda naró'.,,,Fat fish.,,,,,Au7WbN,3202,Pescado gordo.
9191,jzd,Benda ñeesuquiì xtinné' nuùni lu mexá'.,,,My baked fish is on the table.,,,,,Wvl/Yp,3212,Mi pescado horneado está en la mesa.
14718,jzd,Bendayaagui'.,,,Oven-cooked fish.,,,,,nDurLs,8388,Pescado horneado.
9201,jzd,Bendú' nahuiini'; Bendálu'.,,,Your little sister (said of a woman).,,,,,wwanQf,3223,Tu hermana menor (dicho de una mujer).
9205,jzd,Bendxú' xtíu'.,,,Your male goat.,,,,EJG;ND;RLC,HPUtcC,3226,Tu cabra macho.
9217,jzd,Beñe ridaabì'.,,,Quick sands.,,,,RLC,mmRoDb,3232,Pantano movedizo.
14613,jzd,Beñe xtrooco'.,,,Ball of mud.,,,,,Jtcxz3,8285,Bola de lodo.
9216,jzd,Bentòsa para gaxhá' bi.,,,Suction cup for removing air.,,,,,dqnZMA,3231,Ventosa para sacar el aire.
8651,jzd,Berecà lá guiruùxè'me.,,,The chicken is going to be cut in pieces.,,,,,QhLuKK,2722,Se va a despedazar el pollo.
9225,jzd,Bere guguí' ñeesuquiì.,,,Chicken cooked / roasted at the bottom of the (clay) oven.,,,,,gfp1Cg,3242,Pollo asado en el fondo del horno.
9226,jzd,Bere má gu'guí'  .,,,Cooked chicken.,,,,,T1rmEs,3242,Pollo cocido.
11385,jzd,Bere ribidxi'aa co co co co co co cõ̀.,,,The hen goes co co co co co co cṍ.,,,,,RoaaoV,5449,La gallina grita co co co co co co cṍ.
2595,jzd,Bètu biduuba' neza ra nuu bi'chi'.,,,Beto moved over close to where his brother is.,,,,,h4MN98,811,Beto se arrimó por donde estaba su hermano.
8625,jzd,Betu runi dxiiña' ra rixuuba' xuba'.,,,Beto works where the corn is threshed.,,,,,QfkSi4,2710,Beto trabaja donde se desgrana el maíz.
8228,jzd,Bì'.,,,"It went sour (ex. milk, a mole sauce).",,,,,PK/GnX,2609,"Se puso agrio (ej. el mole, la leche)."
9899,jzd,Biaa de nuù xpiaanu'.,,,Look how smart you are!,,,,,wIwf+m,4126,¡Mira cuán inteligente eres!
8100,jzd,Biaadxa'la'dxi'be.,,,He felt ashamed. (lit. his stomach dropped),,,,,AjV4/7,2582,Le dio pena. (lit. se le bajó al estómago).
7551,jzd,Biaadxa'ladxido'be.,,,S/he did not dare.,,,,EJG,L3fIKc,2428,Le dio pena.
8971,jzd,Biaahuatu zeèdà'.,,,Look who's coming!,,,,,cElDht,2928,¡Mira quién viene!
8972,jzd,"Biaahua xì, quí zandà gu'nu'.",,,"Look, it's no big deal, can't you do it?",,,,,NE/d9r,2929,"Mira, si no es gran cosa, ¿qué no lo puedes hacer?"
8973,jzd,Biaahua xì ti yoo.,,,It's a nothing of a house.,,,,,8UQc0B,2929,Es poca cosa esa casa.
7289,jzd,"Biaa huaxì, zacaxà xiìxà ná bé risaca ngà cayúunaneú'.",,,"Look at that, and it seemed that whatever you were crying about was important.",,,,,h5tFjq,2349 ; 2927,"Mira qué cosa, pensé que llorabas por algo de mucho valor."
9614,jzd,Biaà layu.,,,Sprawled on the ground (like a vine).,,,,JLC;RGL;RLC,QuIQrm,3765,Tendido al ras de la tierra (como bejuco).
9616,jzd,Biaà layu.,,,Smash onto the ground.,,,,,86VuCy,3765,Aplastado contra el suelo.
7557,jzd,Biaana.,,,Remained.,,,,,2WP22z,2430,Se barbechó.
8917,jzd,Biaanà' atrá.,,,It stayed behind.,,,,,AZHNO7,2866,Quedó atrás.
14230,jzd,Biaana atrá.,,,S/he stayed behind.,,,,,XO3QA/,7946,Se quedó atrás.
14231,jzd,Biaana'be atrá.,,,S/he stayed behind.,,,,,xM5Met,7946,Se quedó atrás.
15002,jzd,Biaanà' beelà' xa' la'yu'.,,,You have meat stuck between your teeth.,,,,,qcqriR,8641,Se te quedó carne entre los dientes.
7591,jzd,"Biaanà' cà clàse, má quí ñuu.",,,"The classes were suspended, there weren't any.",,,,JLC,T6SBMq,2436,"Se suspendieron las clases, no hubo."
7592,jzd,Biaanà'cà Fán.,,,Juan stopped.,,,,,eUsvPM,2436,Se detuvo Juan.
7593,jzd,Biaanà'cà Fán nè ca dxù'.,,,Juan stopped because of the soldiers.,,,,,VKL/q8,2436,Se detuvo Juan por los soldados.
9937,jzd,Biaanà' de xqui'.,,,He came in last.,,,,,tiXODE,4143,Quedó al último.
9939,jzd,Biaanà' de xquí'.,,,He ended up in last place.,,,,,QfXGB1,4143,Quedó al último.
7586,jzd,Biaanà' Fán lu gubidxa.,,,Juan ended up in poverty (lit. exposed to the sun).,,,,,cr3Z9h,2432,Juan quedó en la pobreza (lit. expuesto al sol).
7590,jzd,Biaanà' Fán xiè ladi cana ucheèchè' biduaa.,,,"Juan ended up naked, he's passing banana around.",,,,,3B1LsK,2435,Se quedó desnudo Juan y reparte plátano.
7553,jzd,Biaanà' jmá (gu)endaró.,,,More food was left.,,,,JLC;RLC,IL8RyQ,2430,Quedó más comida.
3742,jzd,Biaanà' nalasé' gupà xiiñi'.,,,She became skinny after the birth of her daughter.,,,,,5KBnOl,1137,Se quedó flaca después de que nació su hija.
7588,jzd,Biaanà' nèbe laa tobisì.,,,They reached an agreement.,,,,RLC,K4lqoe,2434,Se pusieron de acuerdo.
13257,jzd,Biaanà pèsù.,,,It has been marked/branded/scared.,,,,,hhjXfB,7043,Quedó marcado.
14425,jzd,Biaana' ti huècu ra xa'na'be.,,,A hole formed on their buttcheek (because of a badly administered injection).,,,,,909e3e,8102,Se le hizo un hueco en la nalga (por una mala inyección).
7589,jzd,Biaanà' xièladi Fán.,,,He was left naked.,,,,,VMCtxF,2435,Juan quedó desnudo.
8105,jzd,Biaandá'.,,,S/he forgot.,,,,,zZ6MIz,2586,Se olvidó.
8966,jzd,Biaa ndì'.,,,Look at this one.,,,,,95WEcG,2926,Mira éste.
7614,jzd,Biaapa'.,,,(She) looked after herself.,,,,,r8dp7H,2444,Se cuidó.
8963,jzd,"Biaa, pàbià' nuù xpiaanu'.",,,Look at how smart you are!,,,,,//BiHO,2926,¡Mira qué inteligente eres!
7632,jzd,Biaapa' huiini' Fán.,,,A vigil was held for Juan (who was about to die).,,,,,xvyx8o,2450,Se veló a Juan (que estaba a punto de morir).
9617,jzd,Biaà rí' ngola bi'ni'be nguiiyu' cà biaà riti bi'ni'be ñaabe.,,,She favored a man and dismissed her own mother.,,,,,V4W5EV,3765,Alzó al hombre y a la mamá la hizo menos (ej. una mujer que le hizo más caso a un hombre que a su propia mamá).
8965,jzd,Biaasì'.,,,"Come on, look!",,,,,8lVYhW,2926,"¡Mira, pues!"
8967,jzd,Biaàsì.,,,Look. (imperative),,,,,KMMxC0,2926,"Mira, pues. (imperativo)"
7661,jzd,Biaaxhà' bupu yanni Arno.,,,Arno foamed at the mouth.,,,,,wo0Kye,2453,Le salió espuma por la boca a Arno.
7638,jzd,Biaaxhà'ca' (bia'sì).,,,They were pulled (together/at the same time).,,,,,BBVIMU,2451,Se arrancaron (igual/juntos).
7635,jzd,Biaaxhà' de xcu bizaa; Biaaxhà' bizaa de xcu.,,,They ripped out the bean plants from the root.,,,,VC,aijrLM,2451,Arrancaron el frijol desde la raiz.
7657,jzd,Biaaxhà' nisa yanni Fán.,,,Juan vomited the water.,,,,,Ai/o/6,2453,Juan vomitó el agua.
7658,jzd,Biaaxhà'ni yanni Fán.,,,Juan vomited.,,,,,BtbRMQ,2453,Vomitó Juan.
13412,jzd,Biaaxhà' pué.,,,Do it! (i.e. I dare you!),,,,,jVZdlm,7203,¡Arráncate pues! (i.e. ¡atrévete!)
